LAST NAME	FIRST NAME	BIRTH DATE	ID	CLASS	MAJOR	HOMEWORK SCORES 	EXAM SCORES
Jones		Shelia		06 21 1992	3472	FR	CS	87 89 65 90 91 93 79	91 94 90
Bain		Robert		11 06 1991	1754	SO	CS	77 88 99 95 93 86 78	83 95 87
Smith		Pamela		07 18 1990	1888	SO	CS	87 92 95 92 94 88 89	79 85 89
Hall		Sherry		08 07 1993	7640	SR	BIO	85 89 75 83 91 95 92	91 81 84
Stokes		Jerry		06 25 1990	2311	JR	CS	83 89 85 88 91 93 95	85 95 90
Clayton		Randy		05 21 1992	9077	JR	EE	80 86 95 89 97 83 96	78 83 90
Chancellor	Janet		02 28 1991	2341	SO	CHEM	87 99 95 88 97 90 85	82 88 94
Adams		Mark		04 16 1989	1764	FR	CS	96 97 99 91 93 89 98	95 97 96
Hooten		Lamar		10 31 1988	8734	SO	CS	91 89 77 90 91 90 84	91 85 86
Mintor		Lara		10 31 1993	8734	FR	MATH	88 85 79 93 92 81 86	95 82 89
